name,latin,zone,sun,soil,wind,is_bulb,notes
Орех,Juglans regia,North Corner (shade),partial_shade,well_drained,sheltered,no,Walnut tree
Дрян,Cornus mas,Garden West,full_sun,well_drained,tolerant,no,Cornel
Мушмула,Mespilus germanica,Garden South,full_sun,well_drained,tolerant,no,Medlar tree
Гинко,Ginkgo biloba,Garden South,full_sun,well_drained,tolerant,no,Ginkgo tree
Дюля,Cydonia oblonga,Garden South,full_sun,well_drained,tolerant,no,Quince
Глог,Crataegus monogyna,Alpineum,full_sun,well_drained,tolerant,no,Hawthorn
Котонеастер,Cotoneaster spp.,Alpineum,full_sun,well_drained,tolerant,no,Cotoneaster
Лъжлив кипарис,Chamaecyparis,Alpineum,full_sun,well_drained,tolerant,no,Chamaecyparis
Леска,Corylus avellana,Garden South,full_sun,well_drained,tolerant,no,Hazel
Зърнастец,Rhamnus spp.,Garden South,full_sun,well_drained,tolerant,no,Rhamnus
Салвия (градински чай),Salvia officinalis,Alpineum,full_sun,well_drained,tolerant,no,Salvia
Винка малка и пъстролистна,Vinca minor / major,Alpineum,full_sun,well_drained,tolerant,no,Vinca
Клек (джудже бор),Pinus mugo,Alpineum,full_sun,well_drained,tolerant,no,Dwarf pine
Хвойна,Juniperus spp.,Alpineum,full_sun,well_drained,tolerant,no,Juniper
Пъскав нокът,Lonicera nitida,Garden South,full_sun,well_drained,tolerant,no,Lonicera
Калина,Viburnum lantana,Garden East,full_sun,well_drained,tolerant,no,Wayfaring tree
Пираканта,Pyracantha coccinea,Garden East,full_sun,well_drained,tolerant,no,Pyracantha
Дива лоза,Parthenocissus quinquefolia,Garden South,full_sun,well_drained,tolerant,no,Virginia creeper
Див (сибирски) лук,Allium schoenoprasum,Garden South,full_sun,well_drained,tolerant,yes,Chives
Махония,Mahonia aquifolium,Garden East,full_sun,well_drained,tolerant,no,Mahonia
Чашкодрян,Euonymus europaeus / japonicus,Alpineum,full_sun,well_drained,tolerant,no,Spindle tree
Шипка,Rosa canina,Garden West,full_sun,well_drained,tolerant,no,Rosehip
Рудбекия,Rudbeckia hirta,Alpineum,full_sun,well_drained,tolerant,no,Rudbeckia
Птиче грозде (Лигуструм),Ligustrum vulgare,Alpineum,full_sun,well_drained,tolerant,no,Privet
Мента,Mentha spp.,Alpineum,full_sun,moist,tolerant,no,Mint
Декоративен лук,Allium moly,Garden South,full_sun,well_drained,tolerant,yes,Allium moly
Далия,Dahlia spp.,Pool Side South,full_sun,well_drained,tolerant,yes,Dahlia
Божур бял & Хортензия,Paeonia spp. & Hydrangea spp.,Garden West (partial shade),full_sun,well_drained,tolerant,no,Peony & Hydrangea
Ехинацея,Echinacea purpurea,Garden West (partial shade),full_sun,well_drained,tolerant,no,Echinacea
Абисинска гладиола,Gladiolus murielae,Garden East,full_sun,well_drained,tolerant,yes,Abyssinian gladiolus
Лупина,Lupinus spp.,Alpineum,full_sun,well_drained,tolerant,no,Lupinus (bluebonnet)
Хибискус,Hibiscus spp.,Garden North (shade),partial_shade,well_drained,sheltered,no,Hibiscus
Еделвайс,Leontopodium alpinum,Alpineum,full_sun,well_drained,tolerant,no,Edelweiss
Актинидия (мини киви),Actinidia arguta,Garden South,full_sun,well_drained,tolerant,no,Hardy kiwi
