name,latin,zone,sun,soil,wind,is_bulb,notes
Орех,Juglans regia,,full_sun,well_drained,sheltered,no,Walnut tree | habitat: full_sun
Дрян,Cornus mas,,full_sun,well_drained,tolerant,no,Cornel | habitat: full_sun
Мушмула,Mespilus germanica,,full_sun,well_drained,tolerant,no,Medlar tree | habitat: full_sun
Гинко,Ginkgo biloba,,full_sun,well_drained,tolerant,no,Ginkgo tree | habitat: full_sun
Дюля,Cydonia oblonga,,full_sun,well_drained,tolerant,no,Quince | habitat: full_sun
Глог,Crataegus monogyna,,full_sun,well_drained,tolerant,no,Hawthorn | habitat: full_sun
Котонеастер,Cotoneaster spp.,,full_sun,well_drained,tolerant,no,Cotoneaster | habitat: full_sun
Лъжлив кипарис,Chamaecyparis,,full_sun,well_drained,tolerant,no,Chamaecyparis | habitat: full_sun
Леска,Corylus avellana,,full_sun,well_drained,tolerant,no,Hazel | habitat: full_sun
Зърнастец,Rhamnus spp.,,full_sun,well_drained,tolerant,no,Rhamnus | habitat: full_sun
Салвия (градински чай),Salvia officinalis,,full_sun,well_drained,tolerant,no,Salvia | habitat: full_sun
Винка малка и пъстролистна,Vinca minor / major,,full_sun,well_drained,tolerant,no,Vinca | habitat: full_sun
Клек (джудже бор),Pinus mugo,,full_sun,well_drained,tolerant,no,Dwarf pine | habitat: full_sun
Хвойна,Juniperus spp.,,full_sun,well_drained,tolerant,no,Juniper | habitat: full_sun
Пъскав нокът,Lonicera nitida,,full_sun,well_drained,tolerant,no,Lonicera | habitat: full_sun
Калина,Viburnum lantana,,full_sun,well_drained,tolerant,no,Wayfaring tree | habitat: full_sun
Пираканта,Pyracantha coccinea,,full_sun,well_drained,tolerant,no,Pyracantha | habitat: full_sun
Дива лоза,Parthenocissus quinquefolia,,full_sun,well_drained,tolerant,no,Virginia creeper | habitat: full_sun
Див (сибирски) лук,Allium schoenoprasum,,full_sun,well_drained,tolerant,yes,Chives | habitat: full_sun
Махония,Mahonia aquifolium,,full_sun,well_drained,tolerant,no,Mahonia | habitat: full_sun
Чашкодрян,Euonymus europaeus / japonicus,,full_sun,well_drained,tolerant,no,Spindle tree | habitat: full_sun
Шипка,Rosa canina,,full_sun,well_drained,tolerant,no,Rosehip | habitat: full_sun
Рудбекия,Rudbeckia hirta,,partial_shade,well_drained,tolerant,no,Rudbeckia | habitat: partial sun
Птиче грозде (Лигуструм),Ligustrum vulgare,,full_sun,well_drained,tolerant,no,Privet | habitat: full_sun
Мента,Mentha spp.,,full_sun,moist,tolerant,no,Mint | habitat: full_sun
Декоративен лук,Allium moly,,full_sun,well_drained,tolerant,yes,Allium moly | habitat: full_sun
Далия,Dahlia spp.,,full_sun,well_drained,tolerant,yes,Dahlia | habitat: full_sun
Божур бял & Хортензия,Paeonia spp. & Hydrangea spp.,,partial_shade,well_drained,tolerant,no,Peony & Hydrangea | habitat: half shade
Ехинацея,Echinacea purpurea,,partial_shade,well_drained,tolerant,no,Echinacea | habitat: half shade
Абисинска гладиола,Gladiolus murielae,,full_sun,well_drained,tolerant,yes,Abyssinian gladiolus | habitat: full_sun
Лупина,Lupinus spp.,,full_sun,well_drained,tolerant,no,Lupinus (bluebonnet) | habitat: full_sun
Хибискус,Hibiscus spp.,,partial_shade,well_drained,sheltered,no,Hibiscus | habitat: half shade
Еделвайс,Leontopodium alpinum,,full_sun,well_drained,tolerant,no,Edelweiss | habitat: full_sun
Актинидия (мини киви),Actinidia arguta,,full_sun,well_drained,tolerant,no,Hardy kiwi | habitat: full_sun
Кученце,Antirrhinum,,partial_shade,well_drained,sheltered,no,Antirrhinum | habitat: half shade
Лавровишня,Prunus laurocerasus,,full_sun,well_drained,tolerant,no,Cherry (English) Laurel | habitat: full_sun
Мащерка,Thymus vulgaris,,partial_shade,well_drained,sheltered,no,Thyme | habitat: half shade
Маточина,Melissa officinalis,,full_sun,moist,tolerant,no,Lemon balm (Melissa) | habitat: full_sun
Върболистен тъжник,Spiraea salicifolia,,partial_shade,well_drained,tolerant,no,Bridgewort (Spiraea) | habitat: half shade
Момина сълза,Convallaria majalis,,full_shade,moist,sheltered,no,Lily of the valley | habitat: half shade
Дебелец / алпийска роза,Sempervivum spp.,,full_sun,well_drained,tolerant,no,Sempervivum | habitat: full_sun
Невен,Calendula officinalis,,full_sun,well_drained,tolerant,no,Calendula | habitat: full_sun
Власатка (Овсига фестука),Festuca glauca,,partial_shade,well_drained,tolerant,no,Fescue | habitat: half shade
Кампсис (Тромпетна лоза / Текома),Campsis spp.,,full_sun,well_drained,tolerant,no,Campsis | habitat: full_sun
